Frame,Blur,Brightness,Contrast,Sharpness,Noise,Width,Height
motion_0192.jpg,2548.6,85.38,57.66,118.42,50.48,320,240
motion_0193.jpg,2555.22,85.58,57.76,118.73,50.55,320,240
motion_0194.jpg,2551.32,85.62,57.77,118.73,50.51,320,240
motion_0195.jpg,2554.97,85.64,57.73,118.67,50.55,320,240
motion_0196.jpg,2558.18,85.58,57.65,118.77,50.58,320,240
motion_0197.jpg,2561.03,85.76,57.74,118.89,50.61,320,240
motion_0198.jpg,2552.2,85.84,57.77,119.04,50.52,320,240
motion_0199.jpg,2586.62,86.01,58.14,119.85,50.86,320,240
motion_0200.jpg,2614.51,86.13,58.2,119.77,51.13,320,240
motion_0201.jpg,2614.57,86.24,58.22,120.01,51.13,320,240
motion_0202.jpg,2611.51,86.23,58.26,119.99,51.1,320,240
motion_0203.jpg,2608.47,86.17,58.3,120.03,51.07,320,240
motion_0204.jpg,2603.61,85.96,58.14,119.81,51.03,320,240
motion_0205.jpg,2598.78,85.84,58.03,119.63,50.98,320,240
motion_0206.jpg,2596.79,85.66,57.92,119.62,50.96,320,240
motion_0207.jpg,2592.17,85.65,57.85,119.43,50.91,320,240
motion_0208.jpg,2592.27,85.7,57.83,119.4,50.91,320,240
motion_0209.jpg,2594.32,85.77,57.83,119.57,50.93,320,240
motion_0210.jpg,2594.59,85.79,57.81,119.54,50.94,320,240
motion_0211.jpg,2595.0,86.07,57.93,119.03,50.94,320,240
motion_0212.jpg,2587.73,86.23,58.05,118.7,50.87,320,240
motion_0213.jpg,2585.1,86.26,58.05,118.67,50.84,320,240
motion_0214.jpg,2583.56,86.38,58.17,118.98,50.83,320,240
motion_0215.jpg,2573.8,86.44,58.2,118.61,50.73,320,240
motion_0216.jpg,2574.34,86.58,58.26,118.34,50.74,320,240
motion_0217.jpg,2588.51,86.94,58.5,118.57,50.88,320,240
motion_0218.jpg,2593.97,87.23,58.65,118.77,50.93,320,240
motion_0219.jpg,2596.37,87.58,59.08,119.07,50.95,320,240
motion_0220.jpg,2607.25,87.63,59.2,120.03,51.06,320,240
motion_0221.jpg,2615.62,87.74,59.52,120.51,51.14,320,240
